"ItemCode","ItemName","Brand","Grade","Thickness","Width","Length","TotalQty","TotalNos"
"HRC000000000195","HR SHEET 02X1250XCTLXE250","OTHER","E250","2.000000","1250.000000","0.000000","13.392000","193.000000"
"HRC000000000200","HR SHEET 03X1500XCTLXE350","OTHER","E350","3.000000","1500.000000","0.000000","0.000000","4.000000"
"HRC000000000202","HR SHEET 3.8X1250XCTLXE250","OTHER","E250","3.800000","1250.000000","0.000000","0.000000","-2.000000"
"HRC000000000205","HR SHEET 04X1500XCTLXE250","OTHER","E250","4.000000","1500.000000","0.000000","10.334000","39.000000"
"HRC000000000213","HR PLATE 05X2000XCTLXE250","OTHER","E250","5.000000","2000.000000","0.000000","0.054000","0.000000"
"HRC000000000214","HR PLATE 05X1250XCTLXE350","OTHER","E350","5.000000","1250.000000","0.000000","0.522000","4.000000"
"HRC000000000215","HR PLATE 05X1500XCTLXE350","OTHER","E350","5.000000","1500.000000","0.000000","0.000000","-2.000000"
"HRC000000000222","HR PLATE 06X2000XCTLXE250","OTHER","E250","6.000000","2000.000000","0.000000","2.571000","4.000000"
"HRC000000000238","HR PLATE 08X1500XCTLXE250","OTHER","E250","8.000000","1500.000000","0.000000","0.000000","1.000000"
"HRC000000000239","HR PLATE 08X2000XCTLXE250","OTHER","IS2062 E250A","8.000000","2000.000000","0.000000","4.545000","3.000000"
"HRC000000000244","HR PLATE 10X2000XCTLXE250","OTHER","E250","10.000000","2000.000000","0.000000","0.001000","0.000000"
"HRC000000000246","HR PLATE 10X1500XCTLXE350","OTHER","E350","10.000000","1500.000000","0.000000","2.814000","2.000000"
"HRC000000000253","HR PLATE 12X1500XCTLXE350","OTHER","E350","12.000000","1500.000000","0.000000","1.472000","-21.000000"
"HRC000000000265","HR PLATE 16X1500XCTLXE350","OTHER","E350","16.000000","1500.000000","0.000000","7.073000","3.000000"
"HRC000000000271","HR PLATE 20X1500XCTLXE350","OTHER","E350","20.000000","1500.000000","12600.000000","0.109000","0.000000"
"HRC000000000279","HR SHEET 03X1500X3700XE350","OTHER","IS2062 E350 BR","3.000000","1500.000000","3700.000000","0.450000","2.000000"
"HRC000000000280","HR SHEET 03X1500X3400XE350","OTHER","E350","3.000000","1500.000000","3400.000000","0.144000","0.000000"
"HRC000000000282","HR PLATE 5.8X1250X1770XHSFQ450","OTHER","HSFQ450","5.800000","1250.000000","1770.000000","0.057000","49.000000"
"HRC000000000283","HR PLATE 5.8X1500X2150XHSFQ550","OTHER","HSFQ550","5.800000","1500.000000","2150.000000","0.023000","17.000000"
"HRC000000000284","HR PLATE 07X1500X2500XE550","OTHER","HSFQ550","7.000000","1500.000000","2500.000000","0.000000","19.000000"
"HRC000000000286","HR PLATE 7.8X1500X2500XHSFQ550","OTHER","HSFQ550","7.800000","1500.000000","2500.000000","0.050000","24.000000"
"HRC000000000290","HR PLATE 16X2000X12500XE350","OTHER","E350","16.000000","2000.000000","12500.000000","2.976000","1.000000"
"HRC000000000292","HR SHEET 03X1500X2500XE250","OTHER","E250","3.000000","1500.000000","2500.000000","0.509000","7.000000"
"HRC000000000293","HR SHEET 03X1500X3700XE250","OTHER","E250","3.000000","1500.000000","3700.000000","3.422000","26.000000"
