Category,ItemGroup,ItemCode,ItemName,CardName,Yr,Mth,Qty,Value,Docs
5. OTHERS,OTHERS,OTH000000000158,UB / UC -JSPL,BISHWESHWARLAL STEELS (PURCHASE),2025,4,16.680000,1367760.000000,1
5. OTHERS,OTHERS,OTH000000000168,UC 152X152X30MM,SRI BALAJI CORPORATION,2025,4,2.170000,154070.000000,1
5. OTHERS,OTHERS,OTH000000000169,UC 152X152X37MM,SRI BALAJI CORPORATION,2025,4,0.890000,63190.000000,1
5. OTHERS,OTHERS,OTH000000000173,UC 254X254x89MM,BISHWESHWARLAL STEELS (PURCHASE),2025,4,3.160000,255960.000000,1
5. OTHERS,OTHERS,OTH000000000209,CORTEN COIL/PLATE,SAI STEEL SYNDICATE,2025,4,20.570000,1435786.000000,1
5. OTHERS,OTHERS,OTH000000000594,MS FLATS 200X8MM,SWASTIK ENTERPRISE,2025,4,0.150000,8025.000000,1
5. OTHERS,OTHERS,PM000000000446,PM PLATE,"V.K INDUSTRIAL CORPORATION LTD.,",2025,4,70.890000,3886001.500000,4
5. OTHERS,OTHERS,RS000000000002,SAIL RS JOISTS 150X75MM,NITHISH TRADING CORPORATION,2025,4,9.250000,511062.500000,1
1. SAIL HR,SAIL HR COIL,HR000000000084,SAIL HR COIL 5MMX1250,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,5,62.010000,3209774.020000,3
1. SAIL HR,SAIL HR COIL,HR000000000115,SSP HR COIL 4MMX1250,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,5,46.305000,2431012.500000,2
1. SAIL HR,SAIL HR COIL,HR000000000119,SAIL HR COIL 5MMX1500,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,5,55.155000,2882521.910000,1
1. SAIL HR,SAIL HR COIL,HR000000000120,SSP HR COIL 5MMX1250,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,5,30.965000,1625662.500000,2
