ItemCode,ItemName,ItemGroup,Category,WhsCode,WhsName,OnHand,Committed,OnOrder,Grade,Thickness,Width,Length
JW000000000114,AMNS HR COIL 12.1X1270 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,22.745000,0.000000,0.000000,WIR006,12.100000,1270.000000,
JW000000000130,AMNS HR COIL 18.8X1260  WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,22.635000,0.000000,0.000000,WIR006,18.800000,1260.000000,
JW000000000182,AMNS HR PLATE 18.8X1260X3796 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,21.993000,22.100000,0.000000,WIR006,18.800000,1260.000000,3796.000000
JW000000000123,AMNS HR PLATE 12.4X1250X3750  WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,21.554000,0.280000,0.000000,WIR006,12.400000,1250.000000,3750.000000
JW000000000076,AMNS HR COIL 12.1X1190 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,21.125000,0.000000,0.000000,WIR006,12.100000,1190.000000,
JW000000000108,JSW HR COIL 8.2X1060 WIR006,JSW H.R.COIL,5. JSW HR,45,JOB WORK WAREHOUSE,20.890000,0.000000,0.000000,WIR006,8.200000,1060.000000,
RDU000000000121,AMNS HR PRIME BLANKS/FLATS 16X125X2830 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,14.460000,1.570000,0.000000,WIR006,16.000000,125.000000,2830.000000
JW000000000187,JSOL HR PLATE 18X1260X2630 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,14.449000,0.000000,0.000000,WIR006,18.000000,1260.000000,2630.000000
JW000000000186,JSOL HR PLATE 18X1260X4488 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,5.952000,0.000000,0.000000,WIR006,18.000000,1260.000000,4488.000000
RDU000000000122,AMNS HR  BLANKS/FLATS 16X1190 SCRAP  WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,2.815000,0.025000,0.000000,WIR006,16.000000,1190.000000,
RDU000000000192,JSOL HR BLANKS/FLATS 18X1260 SCRAP WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,2.048000,0.000000,0.000000,WIR006,18.000000,1260.000000,
RDU000000000189,WUHAN HR  BLANKS/FLATS 12.1X1270 SCRAP  WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,1.838000,0.730000,0.000000,WIR006,12.100000,1270.000000,
